OBJECTID,DISTRICT,COUNTY,PWSID,SYSNAME,SYS_STATUS,FAC_ID,WTP_ID,WTPNAME,SAMP_PT_ID,SAMP_TYPE,SAMP_LAB_ID,SAMP_DATE,ANALYTE_CD,ANALYTE,LESSTHANDETECT,SAMPLE_RESULT,UNIT,ACTIONLEVEL
12962657,NWDO,ASHLAND,OH0337412   ,TAHOMA ENGINEERED SOLUTIONS,A,352764,1514,TAHOMA ENGINEERED SOLUTIONS,EP001       ,RT,PSC-VG23029-002,2020/07/21,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962658,NWDO,ASHLAND,OH0337412   ,TAHOMA ENGINEERED SOLUTIONS,A,352764,1514,TAHOMA ENGINEERED SOLUTIONS,EP001       ,RT,PSC-VG23029-002,2020/07/21,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962659,NWDO,ASHLAND,OH0337412   ,TAHOMA ENGINEERED SOLUTIONS,A,352764,1514,TAHOMA ENGINEERED SOLUTIONS,EP001       ,RT,PSC-VG23029-002,2020/07/21,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962660,NWDO,ASHLAND,OH0337412   ,TAHOMA ENGINEERED SOLUTIONS,A,352764,1514,TAHOMA ENGINEERED SOLUTIONS,EP001       ,RT,PSC-VG23029-002,2020/07/21,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962661,NWDO,ASHLAND,OH0337412   ,TAHOMA ENGINEERED SOLUTIONS,A,352764,1514,TAHOMA ENGINEERED SOLUTIONS,EP001       ,RT,PSC-VG23029-002,2020/07/21,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
12962662,NWDO,ASHLAND,OH0301012   ,LOUDONVILLE VILLAGE,A,352719,1475,LOUDONVILLE VILLAGE,EP001       ,RT,PSC-VG23019-002,2020/07/20,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962663,NWDO,ASHLAND,OH0301012   ,LOUDONVILLE VILLAGE,A,352719,1475,LOUDONVILLE VILLAGE,EP001       ,RT,PSC-VG23019-002,2020/07/20,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962664,NWDO,ASHLAND,OH0301012   ,LOUDONVILLE VILLAGE,A,352719,1475,LOUDONVILLE VILLAGE,EP001       ,RT,PSC-VG23019-002,2020/07/20,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962665,NWDO,ASHLAND,OH0301012   ,LOUDONVILLE VILLAGE,A,352719,1475,LOUDONVILLE VILLAGE,EP001       ,RT,PSC-VG23019-002,2020/07/20,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962666,NWDO,ASHLAND,OH0301012   ,LOUDONVILLE VILLAGE,A,352719,1475,LOUDONVILLE VILLAGE,EP001       ,RT,PSC-VG23019-002,2020/07/20,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962667,NWDO,ASHLAND,OH0301012   ,LOUDONVILLE VILLAGE,A,352719,1475,LOUDONVILLE VILLAGE,EP001       ,RT,PSC-VG23019-002,2020/07/20,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
